카드명,카드사,연회비_국내,연회비_해외,전월실적_기준,주요혜택
taptap SHOPPING,삼성카드,10000,10000,300000,온라인쇼핑: 5%할인 | 오프라인쇼핑: 5%할인 | 스트리밍: 3천원할인
국민행복 체크카드 S2,우리카드,0,0,300000,의료(임신·출산): 3%캐시백 | 학습지/학원/서점: 3%캐시백 | 영상/음원서비스: 10%캐시백
배달의민족 비장의카드 V.2,우리카드,3000,3000,300000,"배달의민족: 1,100원캐시백 | 온라인쇼핑: 10%캐시백 | 대중교통: 2,000원캐시백"
삼성 모바일플러스카드,삼성카드,15000,15000,0,갤럭시 스토어: 5%적립 | 삼성닷컴: 10%적립 | 이동통신요금: 10%적립
스타플러스 체크카드,KB국민카드,0,0,0,커피·모바일·문화: 10%할인 | 뷰티·편의점: 5%할인 | 공항라운지: 연 1회제공
신세계 BC 바로 SEVEN FLEX,BC 바로카드,20000,20000,300000,신세계백화점: 7%할인 | 간편결제: 7%할인 | 카페: 7%할인
신한카드 B.Big(삑),신한카드,0,10000,300000,대중교통: 200~600원할인 | 택시: 10%할인 | KTX: 10%할인
신한카드 MY CAR,신한카드,27000,30000,400000,자동차 구매금액: 0.2%캐시백 | 주유소: 80원/L할인 | 전기차 충전요금: 30%할인
신한카드 On 체크(잔망루피),신한카드,0,0,200000,간편결제: 2%적립 | 생활편의: 2%적립 | 해외 이용금액: 1.3%적립
카카오뱅크 mini카드,카카오뱅크,0,0,0,전국ATM 수수료: 무료서비스 | CU에서는: 현금없이T머니충전
현대카드S,현대카드,15000,15000,400000,"온라인몰, 대형마트, 슈퍼마켓: 10%청구 할인 | 백화점, 프리미엄 아울렛: 10%청구 할인 | 커피전문점, 편의점, 대중교통: 5%청구 할인"
현대카드X HYBRID,현대카드,0,0,0,이용금액별: 0.6~0.3%적립
ALL 우리카드 Premium,우리카드,150000,150000,0,"ALL 리워드 포인트: 4,000적립 | ALL 회원: SILVER 등급제공 | 3,000원 당 최대: 3 ALL 리워드 포인트적립"
K-패스카드(신용),NH농협카드,13000,15000,400000,대중교통: 10%청구할인 | 렌터카/카쉐어링: 10%청구할인 | 전기차 충전: 10%청구할인
KB국민 우리동네 체크카드,KB국민카드,0,0,200000,"세탁소, 정육점: 10%할인 | 슈퍼마켓: 5%할인 | 번개장터: 5%할인"
NH20 해봄카드,NH농협카드,0,8000,300000,인천공항라운지: 연 2회무료 | 전국 놀이공원: 50%할인 | 온라인 쇼핑몰: 10%할인
RAUME O,삼성카드,0,2000000,0,RAUME포인트: 0.5~2%적립 | 프리미엄: 기프트바우처 | 동반자: 항공권무료
zgm living카드,NH농협카드,50000,55000,500000,"통신: 최대 15,000P적립 | 주유: 최대 15,000P적립 | 보험: 최대 15,000P적립"
내일배움체크카드,NH농협카드,0,0,0,주유소: 40원/L할인 | 서적: 10%할인 | 커피: 10%할인
디지로카 Monaco,롯데카드,125000,125000,0,국내·해외: 1%할인 | 온라인쇼핑: 최대 5%할인 | 배달앱/이동통신/스트리밍: 5~50%할인
신한카드 주거래 신용,신한카드,0,15000,300000,모든가맹점: 0.7%적립 | 쇼핑/해외: 1.3%추가적립 | 생활가맹점: 3.3%추가적립
에듀플러스카드,광주은행,14000,15000,300000,"학원 업종: 20%캐시백 | 학습지 브랜드: 20%캐시백 | 서점, 전자: 10%캐시백"
올바른 NEW HAVE+카드,NH농협카드,23000,25000,0,국내외가맹점: 0.7%적립 | 이용금액 1위: 5배적립 | 이용금액 2위: 3배적립
올바른 POINT UP 카드,NH농협카드,0,12000,400000,기본: 0.7%적립 | 최대: 1.0%추가적립 | 국제공항: 라운지무료이용
카드의정석 UNTACT PLATINUM,우리카드,25000,25000,400000,"정기결제 최대: 20%할인 | 쿠팡로켓와우: 2,900원할인 | 공항라운지: 무료이용"
코스트코 리워드 현대카드 Edition2,현대카드,20000,20000,500000,코스트코: 최대 3%적립 | 국내외 가맹점: 1%적립
토스유스카드(USS),토스,0,0,0,온라인/간편결제: 이용가능 | 교통카드: 사용가능 | 플레이트: 선택가능
현대카드 X,현대카드,50000,50000,500000,국내외 가맹점: 1%청구 할인 | 연간 최대: 10만원캐시백
현대카드 X Cut,현대카드,30000,30000,500000,"국내외가맹점: 1%청구 할인 | 뷰티/생활/패션: 5%청구 할인 | 배달 앱, 편의점: 5%청구 할인"
현대카드D,현대카드,15000,15000,400000,"일반음식점, 배달 앱: 10%청구 할인 | 커피전문점, 편의점: 5%청구 할인 | 대중교통: 5%청구 할인"
#ing(샵핑)카드,NH농협카드,8000,10000,300000,주요쇼핑업종: 5%할인 | 온라인쇼핑: 5%할인 | 모든해외업종: 5%할인
e hi-pass 카드(현대차),KB국민카드,2000,0,0,하이패스 통행료: 후불결제 | 포인트리: 0.1%적립 | 한국도로공사 통행료: 최대 50%할인
E1 LPG 롯데 체크카드,롯데카드,0,0,200000,E1 LPG 충전소: 리터당 47포인트적립 | 자동차: 정비  서비스제공
K-패스 우리카드,우리카드,15000,0,400000,"국내 가맹점: 0.3%할인 | 스타벅스, 폴바셋: 10%할인 | 대중교통: 10%할인"
K-패스 하나 신용카드,하나카드,17000,17000,500000,대중교통: 10%청구할인 | 드럭스토어: 10%청구할인 | 커피: 10%청구할인
kt SUPER+ 카드,BC 바로카드,15000,17000,500000,"KT통신요금 최대: 25,000원할인 | SK 주유소: 1%할인"
LG U+ 삼성카드,삼성카드,20000,20000,300000,LG U+: 24개월라이트할부 | LG U+ 최대: 1만6천원할인
LOCA 100,롯데카드,20000,20000,750000,국내외가맹점 최대: 1%할인 | 온라인 영역: 1.5%할인 | Flex Voucher: 6만원제공
RAUME O (스카이패스),삼성카드,0,2000000,0,"스카이패스: 1마일/1,500원적립 | 프리미엄: 기프트바우처 | 동반자: 항공권무료"
SC제일은행-현대카드 X CHECK,현대카드,0,0,0,월 100만원 미만 이용 시: 0.3% X캐시백적립 | 월 100만원 이상 이용 시: 0.6% X캐시백적립 | 전국 CD·ATM: 현금 인출가능
SKT-현대카드M Edition3(라이트할부형2.0),현대카드,20000,20000,500000,SKT라이트할부 최대: 2만5천원할인 | 국내외가맹점 최대: 3%적립 | 신차 구매 시: 1.5%적립
Smilecard Edition3,현대카드,20000,20000,300000,"국내외 가맹점 이용 시: 0.7%적립 | G마켓, 옥션 이용 시: 2%적립 | 커피전문점, 편의점, 교통 이용 시: 2%적립"
VIVA+ 체크카드,하나카드,0,0,0,해외이용수수료: 0.5%면제 | 해외인출수수료: 3%면제 | 점심시간: 7%캐시백
더담은 체크카드,MG새마을금고,0,0,0,교육: 2천원할인 | 주유: 1천원할인 | 음식점: 1천원할인
롯데백화점 FLEX카드,롯데카드,100000,100000,500000,국내외가맹점: 0.5%적립 | 스트리밍: 30%할인 | 커피: 50%할인
미래에셋 현대카드 Diamond,현대카드,500000,500000,500000,스탁마일리지: 5%특별적립 | 바우처 제공: 30만원상당 | 공항라운지: 연 10회무료
미래에셋 현대카드 Silver,현대카드,30000,30000,500000,스탁마일리지: 2%특별 적립 | 스탁마일리지: 1%기본적립
신세계 BC 바로 콰트로 플러스,BC 바로카드,5000,5000,300000,쇼핑: 5%할인 | 교통: 4%할인 | 온라인몰: 7%할인
신세계 신한카드,신한카드,0,12000,500000,신세계백화점: 5%할인 | Life Care가맹점: 5%할인 | 해외: 5%캐시백
신한카드 The ACE BLUE LABEL,신한카드,0,700000,0,Gift Option: 3개 중 택 1 | 의료비: 10%할인 | 공항라운지: PP 서비스제공
신한카드 주거래 체크,신한카드,0,0,300000,"전가맹점: 0.3%적립 | 쇼핑, 해외가맹점: 0.7%추가적립 | 생활가맹점: 1.7%추가적립"
카카오뱅크 KB국민카드,KB국민카드,15000,15000,500000,편의점: 3천원할인 | PC방: 5천원할인 | 숙박앱: 5천원할인
카카오페이 체크카드,IBK기업은행,0,0,200000,카카오페이 가맹점: 15%할인 | 온라인쇼핑: 10%할인 | 편의점/드럭스토어: 5%할인
토스 신용카드,하나카드,10000,10000,0,해외가맹점: 2%적립 | 해외ATM이용: 건당$3면제 | VISA: 브랜드서비스
하나은행 밀리언달러 카드,롯데카드,15000,15000,0,국제브랜드사 수수료: 면제서비스 | 해외 온라인가맹점: 5%캐시백 | 스트리밍: 50%할인
현대카드M CHECK-경차전용카드(유류세 환급),현대카드,0,0,0,국내 가맹점: 최대 1%M포인트 적립 | 경차 유류세: 환급
#tag1카드 Orange,하나카드,0,12000,300000,커피: 25~50%할인 | 편의점: 5~10%할인 | 통신요금: 5~10%할인
Daily With(데일리위드)카드,IBK기업은행,10000,12000,500000,6대생활영역: 1%기본캐시백 | 최다이용영역: 1%추가캐시백
DIGILOCA SKYPASS,롯데카드,20000,20000,0,국내 1천원당: 1M적립 | 해외 1천원당: 2M적립
E1 LPG 롯데카드,롯데카드,15000,0,300000,E1 LPG 충전소: 87P/L적립 | 하이패스: 30%적립 | 자동차보험료: 3만원할인
Easy fly 티타늄카드,KB국민카드,35000,35000,500000,저비용항공사: 5%할인 | 해외이용: 3%캐시백 | 면세점: 5%할인
Easy shopping 티타늄카드,KB국민카드,30000,30000,500000,온라인쇼핑몰/마트: 10%적립 | KB Pay 이용 시: 5%추가적립 | 관리비/편의점/배달앱: 5%적립
Liiv M Ⅱ 카드,KB국민카드,15000,15000,300000,이동통신요금 최대: 1만7천원할인
MULTI Any 체크카드,하나카드,0,0,0,국내외 전 가맹점: 0.2%적립 | 페이결제: 0.4%적립 | 쇼핑: 0.6%적립
NU 후불하이패스,우리카드,2000,0,0,카드의정석 후불: 하이패스기능 | 평일 출퇴근 통행료: 20~50%할인
the Red (M포인트형),현대카드,300000,300000,500000,국내외 가맹점: 1.5%M포인트 적립 | 연 1회: 30만원 상당바우처 제공 | 공항 라운지: 연간 10회무료 이용
가온체크카드,KB국민카드,0,0,100000,모든가맹점: 0.2%적립 | 주말/공휴일: 0.2%추가적립 | 대중교통/택시: 0.2%추가적립
경차 smart 롯데카드,롯데카드,0,0,300000,경차: 유류세환급 | 주유소: 리터당 80원할인 | 스피드메이트: 엔진오일할인
네이버페이 쇼핑엔로카,롯데카드,10000,10000,0,"장기할부 이용 시: 최대 15,000포인트 적립 | 장기할부 미 이용 시: 1%포인트 적립 | 장기할부 서비스: 최대 36개월제공"
롯데 국민행복 체크카드,롯데카드,0,0,300000,온라인쇼핑: 5%캐시백 | 병원/약국: 5%캐시백 | 교육비: 10%캐시백
부자되세요 덤카드,BC 바로카드,10000,12000,0,국내외 가맹점: 0.8%청구할인 | 생활 편의 업종: 0.5%추가 청구할인 | 실적 조건 없이: 최대 5천원할인
삼성 iD POCKET 카드,삼성카드,0,0,0,대중교통: 최대 2%할인 | 편의점: 최대 8%할인 | 커피전문점: 최대 8%할인
삼성 iD STATION 카드 (SK에너지),삼성카드,15000,15000,400000,SK에너지: 10%할인 | 통신: 5%할인 | 편의점: 5%할인
삼성카드 taptap I,삼성카드,49000,49000,500000,"[일상팩]커피전문점: 30%할인 | [일상팩]마켓컬리: 20%할인 | [여가팩]KTX/SRT: 5,000원할인"
스타체크카드,KB국민카드,0,0,200000,"GS칼텍스: 60~50원/L할인 | CGV: 3,000원할인 | 이동통신요금: 2,500원할인"
신세계 트래블GO 하나카드,하나카드,20000,20000,0,"신세계백화점, 해외/항공/여행: 하나머니적립 | 전세계: 공항라운지 무료이용 | 해외: 이용수수료 면제서비스"
신한카드 EVerywhere,신한카드,19000,22000,400000,전기차 충전요금: 20~40%캐시백 | 디지털 구독서비스: 20%캐시백 | 주차앱: 5천원캐시백
신한카드 SOL Plan,신한카드,30000,33000,400000,"주유, 쇼핑, 배달: 최대 5%적립 | OTT, 멤버십: 최대 1만 5천원적립 | 포인트박스: 10% 추가 입금"
신한카드 SOL트래블,신한카드,27000,30000,400000,해외 이용·ATM: 수수료면제 | 자유로운 해외 결제: 환율 100%우대 | 국내 이용금액: 최대 2%적립
여행스케치 아시아나클럽 플래티늄카드,광주은행,45000,0,0,"1,000원당 최대: 3마일리지적립 | 공항라운지: 연2회이용 | 환율(USD,JPY,EUR): 50%우대"
올바른 BAZIC 카드,NH농협카드,0,14000,400000,일요일: 최대1.2%할인 | 해외이용: 1.0%할인 | 국내공항: 라운지무료이용
올바른 Edu 카드,NH농협카드,0,25000,400000,학원비: 5%할인 | 10대업종: 0.5~1%할인 | 교육비: 2천원할인
원더카드 2.0 T,하나카드,19900,19900,400000,"SK텔레콤/T우주: 20%청구할인 | T멤버십 바코드 결제: 20%청구할인 | 영역별 월 최대 할인한도: 15,000원"
위 테라카드(스카이패스),NH농협카드,0,530000,500000,"1,500원당: 최대2마일적립 | 주말사용: 최대3마일적립 | 연 1회: 30만원상당바우처제공"
이마트 e카드 Edition2,현대카드,20000,20000,0,이마트 7대 가맹점 최대: 5%적립 | 생활편의영역 최대: 5%적립 | 그 외 모든 가맹점 최대: 0.5%적립
카카오뱅크 삼성카드,삼성카드,7000,7000,0,마트/편의점: 1%할인 | 스트리밍: 20%할인 | 영화관: 5천원할인
트래블페이 충전카드,트래블월렛,0,0,0,주요 통화: 무료환전수수료 | 해외결제: 0%수수료 | 충전가능외화: 31개선충전
행복한 체크카드,우체국,0,0,300000,마트: 10%캐시백 | 병·의원/약국: 10%캐시백 | 학원: 10%캐시백
후불하이패스 카드,하나카드,5000,0,0,하나: 후불하이패스전용 기능 | 출퇴근 통행료: 최대 50%자동할인
#tag1카드 Navy,하나카드,0,12000,400000,아파트관리비: 5~10%할인 | 통신요금: 5~10%할인 | 주유소: 최대 60원/L할인
BC 바로 기후동행카드,BC 바로카드,7000,0,300000,대중교통: 15%할인 | 이동통신요금: 5%할인 | OTT/스트리밍: 10%할인
BNK 프렌즈 체크카드,BNK부산은행,0,1000,0,국내이용금액: 0.2~0.4%캐시백 | 해외이용금액: 1%캐시백
E1 LPG KB국민카드,KB국민카드,0,20000,500000,E1 LPG충전소: 100원/L할인 | 인터넷 쇼핑몰: 10%할인 | CGV: 10%할인
Easy link 티타늄카드,KB국민카드,30000,32000,500000,자동납부이용: 최대1만원캐시백 | 영화: 3천원할인 | 선택형패키지: 5%할인
Easy ring 티타늄카드,KB국민카드,30000,30000,500000,통신요금 최대: 2만5천원할인 | 배달앱: 2천원할인 | 온라인쇼핑: 5%할인
HERITAGE Exclusive,KB국민카드,2000000,2000000,0,슈퍼프리미엄 쿠폰: 2가지제공 | 국내외: 1~3%포인트리 적립 | 국제브랜드: VISA Infinite서비스 제공
Kia Members 신용카드 Edition2,현대카드,30000,30000,0,신차 구매 시: 1.5%M포인트 적립 | 당월 이용금액에 따라: 최대 1%M포인트 적립 | KIA Members 제휴처: 최대 2%기아멤버스 포인트 적립
LOCA PLATINUM 마일리지형,롯데카드,100000,100000,0,"1,500원당: 1마일기본적립 | 프리미엄: 서비스제공 | 바우처: 5만원제공"
Mile 1.6 대한항공,하나카드,0,45000,0,"해외 1,500원당: 1.8 HANA Mile적립 | 국내 1,500원당: 1.6 HANA Mile적립 | CGV/롯데시네마: 4,000원할인"
NH올원 LG전자BEST카드,NH농협카드,0,15000,300000,선포인트/특별할부: 최대2만원할인 | 커피: 10%할인 | 베이커리: 10%할인
Point Plan 체크(SOL 모임),신한카드,0,0,0,일상 생활비: 최대 1%적립 | 주말 배달앱: 1천 포인트적립 | 편의점: 5%적립
S-OIL LPG KB국민카드,KB국민카드,5000,10000,300000,"S-OIL(LPG) 충전시: 1,800원정액할인 | 엔진오일: 연 1회무료교환 | 맥스무비 1매당: 3,500원현장할인"
SK LPG SAVE KB국민카드,KB국민카드,3000,5000,300000,"SK에너지(LPG) 충전시: 1,500원정액할인 | 엔진오일: 연 1회무료교환 | 패밀리레스토랑: 10%청구할인"
SmileCard the Club,현대카드,50000,50000,0,스마일배송 가맹점: 3%적립 | 스마일페이가맹점/해외: 2%적립 | 그 외 가맹점: 1%적립
SOHO 다사로이카드,NH농협카드,12000,12000,0,비즈니스: 최대5%할인 | 해외가맹점: 최대1.5%할인 | 전가맹점: 0.5%할인
TRADERS CLUB 삼성카드,삼성카드,15000,15000,0,트레이더스 홀세일 클럽: 최대 5%적립 | 택시: 최대 2%적립 | 편의점: 최대 2%적립
Triple In LOCA,롯데카드,20000,20000,0,이동통신: 1만원할인 | 렌탈: 1만원할인 | 보험료: 1만원할인
글로벌쇼핑 삼성카드 5 V2,삼성카드,0,18000,0,해외 쇼핑: 1~2%적립 | 국제브랜드수수료: 1%면제 | 아이포터: 배송비할인
나무 NH농협카드,NH농협카드,15000,15000,400000,이용금액 1위: 최대 8%캐시백 | 나무멤버스: 월 이용료캐시백 | 국제공항 라운지: 무료이용
네이버웹툰 삼성 iD 카드,삼성카드,10000,10000,0,네이버 디지털콘텐츠: 50%적립 | 국내 가맹점: 1%적립 | 배달앱·스타벅스: 5%적립
넥슨 메이플스토리 하나BC 체크카드,하나카드,0,0,200000,"넥슨캐시/세라 온라인충전액: 25%캐시백 | 대중교통, 택시: 5%캐시백 | 온라인쇼핑: 5%캐시백"
디지로카 Auto,롯데카드,30000,30000,500000,리터당: 최대 150원캐시백 | 국내 가맹점: 2~3개월무이자할부
딩딩 체크카드,BNK부산은행,0,0,200000,편의점: 10%할인 | 베이커리: 10%할인 | 패스트푸드: 10%할인
롯데월드카드,삼성카드,10000,10000,300000,롯데월드 시설이용권: 50%할인 | 롯데월드 기념품샵: 10%할인 | 생활필수영역: 7%할인
미래에셋증권 체크카드(할인 2),미래에셋증권,0,0,300000,"커피전문점: 10%할인 | 편의점: 10%할인 | 디지털구독 건당: 5,000원할인"
배민 곱빼기카드,현대카드,30000,30000,400000,"배민 앱: 5%적립 | 커피, 편의점, 대중교통: 3%적립 | 그 외 국내외가맹점: 0.5%적립"
보험엔로카,롯데카드,20000,20000,0,"자동차보험: 최대 25,000원캐시백 | 생명보험/손해보험: 최대 25,000원할인"
삼성 iD AUTO 카드,삼성카드,49000,49000,500000,주유: 최대 90원/L할인 | 주차장·하이패스·대리운전: 10%할인 | 국내외 가맹점: 0.5%할인
삼성 iD CARE 카드,삼성카드,20000,20000,300000,"전월 이용금액에 따라: 3,000원 ~ 9,000원할인 | 아파트 관리비·이동통신·4대 사회보험: 5%할인 | 의료: 5%할인"
삼성 iD NOMAD 카드,삼성카드,47000,49000,500000,기프트서비스: 영역별 연 1회제공 | 국내외가맹점: 최대 2%적립 | 디지털콘텐츠/멤버십: 50%할인
삼성 iD STATION 카드 (GS칼텍스),삼성카드,15000,15000,400000,GS칼텍스: 10%할인 | 통신: 5%할인 | 편의점: 5%할인
스타벅스 삼성카드,삼성카드,30000,30000,500000,스타벅스 이용금액 1만원당: 별 리워드 최대 5개적립 | 스타벅스 선불카드 충전 이용시: 스타벅스 별 리워드적립 | 국내외 가맹점 이용 시: 스타벅스 별 리워드적립
신세계 THE S VIP,삼성카드,47000,49000,500000,"신세계백화점: 1%결제일할인 | 국내외가맹점: 0.5%결제일할인 | 모든 영화관: 10,000원결제일할인"
신한카드 S-Line 체크,신한카드,0,0,300000,"전 가맹점: 0.2%~0.5%적립 | 요식업종: 5%할인 | 버스,지하철: 5%할인"
신한카드 SOL글로벌 체크,신한카드,0,0,0,교통/통신: 10%캐시백 | 마트/음식점: 10%캐시백 | 병원/약국: 10%캐시백
신협 어부바 체크카드,신협,0,0,200000,편의점: 10%더블 캐시백 | 커피전문점: 10%더블캐시백 | 패스트푸드: 10%더블캐시백
어디서나 체크카드,우체국,0,0,300000,마트: 5%캐시백 | 소셜커머스: 5%캐시백 | 음식점: 5%적립
영리한 PLUS 체크카드,우체국,0,0,300000,디지털콘텐츠: 20%캐시백 | 온라인쇼핑: 15%캐시백 | 배달앱: 15%캐시백
올바른TRAVEL카드(일본특화),NH농협카드,0,20000,300000,"유니버셜스튜디오재팬: 10,000원할인 | 해외 이용금액: 7%할인 | 커피: 10%할인"
와이즈카드,KB국민카드,5000,10000,0,특별포인트리: 0.5~4.5%적립 | 기본포인트리: 0.5%적립 | 학원/병원/백화점: 2~3개월무이자할부
우리 기후동행카드(체크),우리카드,0,0,250000,"올리브영, 다이소: 5%캐시백 | 교보문고: 5%캐시백 | 어학원(해커스/파고다): 5%캐시백"
원더 K리그 축덕카드,하나카드,19900,19900,0,전가맹점: 0.8%할인 | 간편결제: 1.2%할인 | 쿠팡/슈퍼마켓: 2.0%할인
위 레아카드(스카이패스),NH농협카드,0,330000,500000,"1,500원당: 최대2마일적립 | 특별가맹점: 2마일적립 | 연 1회: 20만원상당바우처제공"
제주항공 트래블제로카드,코나카드,0,0,0,해외 가맹점: 결제 수수료 0% | 환전 수수료: 0%(환율 100% 우대) | 실적/한도 제한 없이: 0.2%캐시백
카카오페이 KB국민 체크카드,KB국민카드,0,0,300000,카카오페이 결제: 2%적립 | 커피전문점: 1%카카오페이머니 적립 | 대중교통: 1%카카오페이머니 적립
토스뱅크 모임카드,토스뱅크,0,0,0,대형마트 최대: 500원캐시백 | 노래방 최대: 500원캐시백 | 음식점/주점 최대: 500원캐시백
폼 체크카드,NH농협카드,0,0,0,외식: 200원할인 | 뷰티: 500원할인 | 쇼핑: 0.2%온라인간편결제 할인
현대카드 X Save,현대카드,30000,30000,500000,"국내외 가맹점: 1%청구 할인 | 온라인몰, 병원, 교육: 5%청구 할인"
[NH농협] 그린카드v2,NH농협카드,10000,12000,200000,국내가맹점 최대: 1%적립 | 온라인 쇼핑: 5%적립 | 버스/지하철 최대: 20%적립
1st TRIPLE 체크카드,전북은행,0,0,200000,특정 업종 최대: 5%캐시백
3 Body-A 현대카드,현대카드,300000,300000,500000,대한항공 직판 결제 시: 3 마일리지적립 | 제네시스 신차 구매 시: 2.5%적립 | SSG.COM 이용 시: 7%적립
able 카드 Ⅱ,KB증권,0,0,300000,대형마트: 5%할인 | 배달앱: 5%할인 | 주유시 리터당: 40원할인
American Express Blue KB Kookmin Card,KB국민카드,0,19000,300000,온라인 쇼핑: 10%할인 | 주유: 100원/L할인 | 패밀리레스토랑: 30%할인
BC 바로 Air Max 카드,BC 바로카드,43000,43000,500000,"1,500원당: 1 스카이패스마일리지 | 1,500원당: 1 스카이패스마일리지 추가 | 1백만원당: 200 스카이패스마일리지 추가"
BeV Ⅸ 토탈마일 카드,KB국민카드,0,1000000,0,"1,500원당 최대: 2.3토탈마일적립 | 왕복항공권: 무료쿠폰 | 호텔 객실 최대: 30%할인"
CJ 삼성 iD 카드,삼성카드,10000,10000,300000,CJ온스타일: 7%할인 | 올리브영: 10%할인 | 뚜레쥬르: 10%할인
CLUB Primus Skypass 카드,하나카드,0,100000,0,"1,500원당: 1마일기본적립 | 면세점/레저 등: 2~5마일특별적립 | Free Package: 연1회제공"
go 캐시백 글로벌 하이브리드,우체국,0,0,300000,해외전가맹점: 7%캐시백 | 간편결제: 5%캐시백 | 하이브리드서비스: 소액신용결제가능
GS ALL 신한카드,신한카드,15000,18000,0,GS리테일 결제: 최대 10%적립 | GS Pay 결제: 추가 2%적립 | 국내외 가맹점: 0.1%적립
HERITAGE Classic [할인형],KB국민카드,127000,127000,500000,국내외가맹점: 1%할인 | 공항 라운지: 연 2회무료 이용 | 쿠폰 서비스: 연 1회제공
HERITAGE Reserve(스카이패스형),KB국민카드,800000,800000,0,쿠폰 서비스: 연 1회제공 | 대한항공 1천원당: 최대 2마일적립 | 특별 서비스: 연 1회제공
I’m YOLO 플래티넘,롯데카드,48000,50000,500000,"1,000원당: 1마일적립 | 특별가맹점: 1마일추가적립 | 공항라운지: 무료이용"
KB 전통시장온누리카드,KB국민카드,20000,20000,400000,전통시장가맹점 이용: 최대 10%청구할인 | 온누리상품권 차감 이용: 최대 10%환급할인 | KB Pay 쇼핑 이용: 최대 10%청구할인
KB국민 펫코노미 카드,KB국민카드,30000,30000,300000,반려동물업종: 30%할인 | 대형마트: 5%할인 | 반려견단체보험: 무료가입
KT 가족만족 할부 신한카드,신한카드,22000,25000,0,Super할부: 24개월연 5.9% | 통신요금: 월 최대 1만 5천원할인
KT 카드의정석 SUPER DC Ⅱ,우리카드,20000,20000,300000,"KT통신비 최대: 1만3천원할인 | 모든 영화관: 3,000원할인"
NC다이노스카드,NH농협카드,8000,10000,300000,"NC다이노스: 2.000원입장료할인 | 온라인쇼핑: 10%할인 | CGV,롯데시네마: 30%할인"
NEW현대백화점체크카드,iM뱅크,0,0,200000,현대백화점: 5%할인 | 현대아울렛: 5%할인 | 현대오일뱅크 리터당: 40원할인
NH1934 체크카드,NH농협카드,0,0,500000,국내외가맹점: 0.2%할인 | 주말 국내가맹점: 0.3%할인
NH농협 콕카드,NH농협카드,0,10000,400000,농협 판매장: 10%할인 | 생활 업종: 10%할인 | 통신요금: 10%할인
NOL 카드,현대카드,20000,20000,400000,NOL포인트: 10%적립 | 해외결제: 10%적립 | 커피·편의점·쇼핑: 10%적립
ON PLATINUM카드(스카이패스),NH농협카드,128000,130000,0,"1,500원당: 1마일리지적립 | 분기실적 150만원 이상 시: 1천5백마일리지적립 | 공항라운지: 무료이용"
SOCAR 제휴 SOCAR 신한카드 체크,신한카드,0,0,200000,SOCAR 결제: 10%할인 | 영화예매: 10%할인 | 철도 이용시: 5%할인
SolSol(쏠쏠)카드,NH농협카드,0,10000,300000,주요 12대 생활업종: 최대 12%할인 | 커피: 10%할인 | 대중교통: 5%할인
SolSol++(쏠쏠투플러스)카드,NH농협카드,0,50000,300000,주요 12대 생활업종: 최대 12%할인 | 커피: 10%할인 | 국내선 동반자: 무료항공권
Young Hana+ 체크카드,하나카드,0,0,0,페이결제: 0.5%캐시백 | 편의점: 5%캐시백 | 대중교통: 10%캐시백
zgm.고향으로카드,NH농협카드,12000,12000,0,NH포인트(지역): 최대 1.7%적립 | NH포인트(평일): 0.7%적립 | NH포인트(주말): 1.0%적립
ZipL 신용카드,BNK부산은행,10000,15000,0,"아파트관리비: 10%청구할인 | 도시가스/전기요금: 10%청구할인 | 이마트, 롯데마트, 홈플러스 등: 10%청구할인"
가온 올포인트 체크카드,KB국민카드,0,0,100000,국내외 가맹점: 0.2%기본적립 | 대형마트: 0.8%추가적립 | GS칼텍스: 0.8%추가적립
갤러리아 Platinum 우리카드,우리카드,30000,30000,500000,갤러리아 백화점: 5%현장할인 | 갤러리아 백화점 / 갤러리아몰: 5~7%청구할인 | 생활 영역: 3%청구할인
국민행복카드 신용카드,iM뱅크,0,0,200000,병/의원: 5%할인 | 어린이집/유치원: 5%할인 | 스타벅스: 20%할인
기후동행 삼성카드,삼성카드,7000,7000,400000,커피·편의점: 10%할인 | 생활 편의 영역: 최대 7%할인 | 디지털콘텐츠: 30%할인
기후동행카드(신용),NH농협카드,4000,0,300000,"온라인쇼핑몰: 10%할인 | 이동통신 자동납부: 4,000원할인 | 커피: 3,000원할인"
넥슨 현대카드Check,현대카드,2000,0,0,국내외 가맹점: 0.5%포인트 적립
롯데포인트플러스 체크카드,롯데카드,0,0,0,L.POINT제휴사: 더블적립
미래에셋 현대카드 Gold,현대카드,150000,150000,500000,스탁마일리지: 3%특별적립 | 바우처 제공: 10만원상당 | 공항 라운지: 연 2회무료
민 체크카드,KB국민카드,0,0,300000,대형마트: 5%할인 | SK에너지: 60원/L할인 | 대중교통: 5%할인
부산 동백전 체크카드,BNK부산은행,0,0,200000,부산전통시장: 2%할인 | 부산일반가맹점: 0.2%할인
브라보(Bravo) 체크카드,우체국,0,0,300000,모든 음식점: 5%캐시백 | 롯데마트・이마트・홈플러스: 5%캐시백 | 전기차 충전: 5%캐시백
삼성 iD CLASSY 카드,삼성카드,30000,30000,300000,"할인점: 35,000원할인 | 국내외 가맹점: 최대 2%적립 | 커피전문점: 20%할인"
삼성빅보너스체크카드,삼성카드,0,0,300000,모든가맹점: 0.5%적립 | S-OIL: 40원/L적립 | 프로스포츠: 입장권할인
삼성체크카드 & POINT,삼성카드,0,0,0,"빅포인트: 0.8~0.2%적립 | CGV: 3,000원할인 | 놀이공원: 50%할인"
