카드명,카드사,연회비_국내,연회비_해외,전월실적_기준,주요혜택
올유닛 체크카드,MG새마을금고,0,0,500000,이동통신요금: 1%할인 | 골프·스키장 등 레저: 1%할인 | 의료비: 1%할인
요기요 삼성카드,삼성카드,10000,10000,0,요기요 최대: 10%할인 | 편의점: 5%할인 | 스트리밍: 10%할인
요기요 신한카드,신한카드,24000,27000,500000,요기요: 20%할인 | 요기요: 10%추가캐시백 | 정기결제건: 15%할인
요기패스 신용카드,KB국민카드,15000,15000,300000,"요기패스 구독료: 9,900원할인 | 넷플릭스, 웨이브: 10%할인 | 생활업종: 5%할인"
우리 K-패스 (COOKIE CHECK),우리카드,0,0,200000,"대중교통: 3천원캐시백 | 해외이용금액: 1~2%캐시백 | 11번가, G마켓, 쿠팡: 2천원캐시백"
우리 K-패스(신용),우리카드,13000,15000,300000,대중교통: 10%할인 | 자동결제업종: 10%할인 | 페이코포인트: 1%적립
우리 XGOLF 카드,우리카드,13000,15000,300000,"골프업종: 3%적립 | 해외,면세점,여행사,항공사: 1.8%적립 | 병원,동물병원: 1.5%적립"
우리 YG 체크카드,우리카드,0,0,300000,YG공연/온라인몰: 10%할인 | 스타벅스/투썸: 20%할인 | 아웃백/TGIF: 10%할인
우리 아이행복체크카드,우리카드,0,0,300000,병원/약국: 5%할인 | 커피전문점: 20%할인 | 대중교통: 5%할인
우리Most카드,우리카드,19000,20000,300000,"Most주유소 최대: 200원/L할인 | 주차장: 2,000원할인 | 영화: 5,000원할인"
우리국민행복체크카드,우리카드,0,0,300000,A-TYPE: 의료/쇼핑할인 | B-TYPE: 육아/교육할인 | C-TYPE: 에코머니적립
우리성당 체크카드,우리카드,0,0,300000,"대중교통: 1,500원할인 | 병원,약국: 5%할인 | 영화: 3천원할인"
웅진씽크빅 카드,KB국민카드,15000,15000,300000,웅진씽크빅 자동납부: 최대 1만7천원할인
원더 Co brand(집업) 제휴 카드,하나카드,19900,19900,0,"딜리버리: 4.0%청구할인 | 오픈마켓, 온라인쇼핑: 4.0%청구할인 | 전 가맹점: 0.8%청구할인"
원더카드 2.0 DAILY,하나카드,19900,19900,400000,"영상 스트리밍: 40%청구할인 | 하나페이 맛집: 10%청구할인 | 영역별 월 최대 할인한도: 15,000원"
웰컴 외국인 올인원 체크카드,웰컴저축은행,0,0,0,최대: 1%무제한 캐시백 | 교통카드: 후불기능 | ATM 이용수수료: 무료
위 레아카드(아시아나클럽),NH농협카드,0,330000,500000,"1,000원당: 최대2마일적립 | 특별가맹점: 2마일적립 | 연 1회: 20만원상당바우처제공"
위 테라카드(아시아나클럽),NH농협카드,0,530000,500000,"1,000원당: 최대2마일적립 | 주말사용: 최대3마일적립 | 연 1회: 30만원상당바우처제공"
위 테라카드(포인트),NH농협카드,0,500000,500000,국내외가맹점: 최대2%적립 | 주말: 최대3%적립 | 연 1회: 30만원상당바우처제공
위글위글 첵첵 체크카드,KB국민카드,0,0,300000,"네이버페이,카카오페이: 2~4천원할인 | 스타벅스: 2~4천원할인 | 텐바이텐: 2~4천원할인"
위메프 우리체크,우리카드,3000,5000,200000,위메프: 5%적립 | 스타벅스: 30%캐시백할인 | 편의점: 5%캐시백할인
위메프 우리카드,우리카드,10000,12000,300000,위메프: 5%적립 | 스타벅스: 50%할인 | 편의점: 10%할인
위메프페이 신용카드,KB국민카드,20000,20000,0,위메프: 2%적립 | 위메프오: 1%적립 | 생활영역/구독서비스: 5%적립
위버스 신한카드 체크(ENHYPEN),신한카드,0,0,200000,위버스샵: 2%적립 | 생활영역: 5%적립 | 하이브인사이트: 25%할인
위버스 신한카드 체크(SEVENTEEN),신한카드,0,0,200000,위버스샵: 2%적립 | 생활영역: 5%적립 | 하이브인사이트: 25%할인
위버스 신한카드(BTS),신한카드,35000,35000,300000,위버스샵: 4%적립 | 하이브인사이트: 50%할인 | Gift서비스: 연1회제공
위버스 신한카드(ENHYPEN),신한카드,35000,35000,300000,위버스샵: 4%적립 | 하이브인사이트: 50%할인 | Gift서비스: 연1회제공
위버스 신한카드(SEVENTEEN),신한카드,35000,35000,300000,위버스샵: 4%적립 | 하이브인사이트: 50%할인 | Gift서비스: 연1회제공
위버스 신한카드(TXT),신한카드,35000,35000,300000,위버스샵: 4%적립 | 하이브인사이트: 50%할인 | Gift서비스: 연1회제공
위비 알뜰주유소 할인카드,우리카드,12000,12000,300000,알뜰 주유소: 80~100원/L할인 | 전국 영화관: 3천원할인 | 커피전문점: 10%할인
위비멤버스카드,우리카드,10000,12000,300000,"국내가맹점: 0.7%적립 | 쇼핑업종: 1.5~2%적립 | 치킨,피자: 10%할인"
위클리 VISA 롯데체크카드,롯데카드,0,0,0,최대: 2%캐시백 | 놀이공원 최대: 50%현장할인 | T.G.I.FRIDAY'S: 10%현장할인
유안타 Daily+ 체크카드,유안타증권,0,0,300000,대형마트 최대: 20%할인 | 편의점 최대: 20%할인
유안타 Stock+ 체크카드,유안타증권,0,0,0,주식약정금액 1백만원 이상: 0.5~1%캐시백
음 체크카드,KB국민카드,0,0,300000,한식업종: 5%할인 | 커피전문점: 5%할인 | 대중교통: 5%할인
이랜드리테일 롯데카드,롯데카드,10000,15000,0,이랜드리테일: 7%할인 | 주요 마트: 5%할인
